masked	src
‘ Atciu-sa em ’ ol si ‘ [MASK] nech fil fúan carbut gabur cenann [MASK] cruaid dian daigerdhai [MASK] baislethon uchtlethon berus builli balc buada tar atha tur inberai tar raitiu tar imraitiu tar moighi tar midglinde co ndosaidh ier mbuaid midise i [MASK] én eturluamain [MASK] nisfeth [MASK] rosc ran inniud for a riadh rochem ráin édruth	‘Atciu-sa em’ ol si ‘indala nech fil fúan carbut gabur cenann crondatha cruaid dian daigerdhai bedgach baislethon uchtlethon berus builli balc buada tar atha tur inberai tar raitiu tar imraitiu tar moighi tar midglinde co ndosaidh ier mbuaid midise i samlaib én eturluamain; nisfeth mo rosc ran inniud for a riadh rochem ráin édruth
In chóraid las rorta, co n-imbud a n-dúire, ar-rochiúir a n-áine, it fássa [MASK] [MASK].	In chóraid las rorta, co n-imbud a n-dúire, ar-rochiúir a n-áine, it fássa a n-dúine.
.i .. ɫ. dagtheist díinn	.i..ɫ. dagtheist díinn
bendacht cecha bordgal for t'ordan, a [MASK]!	bendacht cecha bordgal for t'ordan, a Íssu!
magnus poeta [MASK] fuit ni réid chene	magnus poeta virgilius fuit ni réid chene
Lucht fris fáilti feraim cosin cách no charim, [MASK] com fhairinn [MASK] cund, céill, curp com anim.	Lucht fris fáilti feraim cosin cách no charim, rom-snáidet com fhairinn, cund, céill, curp com anim.
.i . hore amabstal [MASK] dochách cainipsa sóir cedugnén cachṅgním	.i. hore amabstal amforcitlid dochách cainipsa sóir cedugnén cachṅgním
Ad-ellsat [MASK] di alailiu thopur.	Ad-ellsat leu di alailiu thopur.
.i . dobartabart [MASK] hiforbanda rechta	.i. dobartabart ósoscélu hiforbanda rechta
.i . ismó afius deitsiu [MASK] dimaith frimsa	.i. ismó afius deitsiu andorigeni dimaith frimsa
Co n-accae trí cóecta én [MASK] forsind loch cona slabradaib airgdidib co caírchesaib órdaib imma cenna [MASK]	Co n-accae trí cóecta én find forsind loch cona slabradaib airgdidib co caírchesaib órdaib imma cenna.
.i . airde síde cáinchomricc	.i. airde síde cáinchomricc
[MASK]. beim foris inso.ɫ . istitul indí archiunn	.i. beim foris inso.ɫ. istitul indí archiunn
.i . conamuntir dochoid less	.i. conamuntir dochoid less
.i . penbolcc.ɫ . .i . .ɫ . [MASK]. sái.ɫ . fúan	.i. penbolcc.ɫ. .i. .ɫ. .i. sái.ɫ. fúan
Cairill Báétán	Cairill Báétán
acaldam hí frecṅdairc	acaldam hí frecṅdairc
.i . ishé tra asfír	.i. ishé tra asfír
.i . adígail forib manbad irlaithi [MASK] side imbo hochridiu fanacc	.i. adígail forib manbad irlaithi arrofitir side imbo hochridiu fanacc
.i . aithissi óchách	.i. aithissi óchách
.i . iar cosmilius [MASK] som arincorp marbde frissaroscarsom nifil taidchur do dochum inchoirpsin acht isicorp spirtáldae indeséirgi cenfrescsin báis na hirchri nabíd taidchur dúnni [MASK] donchorp [MASK]	.i. iar cosmilius abáis som arincorp marbde frissaroscarsom nifil taidchur do dochum inchoirpsin acht isicorp spirtáldae indeséirgi cenfrescsin báis na hirchri nabíd taidchur dúnni dano donchorp marbdu
isaídi [MASK] ablativus .i . darorbai [MASK]. isái in cin quasi cuius vel ablativus pro genitivo ut supradicti	isaídi nó ablativus .i. darorbai .i. isái in cin quasi cuius vel ablativus pro genitivo ut supradicti
.i [MASK] arnaderlind .i . arnarimfolṅgar díltod do	.i. arnaderlind .i. arnarimfolṅgar díltod do
In t-ord inna caiptel ma beth nech fod-fhúasna, at-biur fíad in lín-sa is [MASK] don [MASK].	In t-ord inna caiptel ma beth nech fod-fhúasna, at-biur fíad in lín-sa is díthár don t-shlúag-sa.
.i . condan [MASK] irrúnaib deachte	.i. condan éolich irrúnaib deachte
Dessid side dano.	Dessid side dano.
Con-tuilet i n-deilb dá géise co timchellsat a [MASK] fo [MASK] conná bed ní bad meth n-enech dó-som.	Con-tuilet i n-deilb dá géise co timchellsat a l-loch fo thrí conná bed ní bad meth n-enech dó-som.
[MASK].. ɫ. aris do arroiéitsa doprecept dochách	.i..ɫ. aris do arroiéitsa doprecept dochách
‘ Dogenum ’ ol ied	‘Dogenum’ ol ied
Luid Cano co h-Illand mac Scanláin co ránic [MASK] m-Baíthi	Luid Cano co h-Illand mac Scanláin co ránic Dún m-Baíthi
‘ At-chí sút, a Lóegairi, ’ ol Conchobar [MASK]	‘At-chí sút, a Lóegairi,’ ol Conchobar.
Nim-sa neimtenga mo crich	Nim-sa neimtenga mo crich
Is menann, a Ruiri [MASK] a Rí rímter flaithi, [MASK] cen loithi sóer-chaindlea cech laithi.	Is menann, a Ruiri, a Rí rímter flaithi, sluindfem-ni cen loithi sóer-chaindlea cech laithi.
.i . hinunn [MASK] do uathath femin ⁊ do hilur [MASK] in anmmanaib fodalet chenel	.i. hinunn litred do uathath femin ⁊ do hilur neutair in anmmanaib fodalet chenel
.i . n dochor diib	.i. n dochor diib
.i . proprium .i . torand folaid ⁊ inne amal ṅdondfoirde ainmm [MASK]	.i. proprium .i. torand folaid ⁊ inne amal ṅdondfoirde ainmm ṅdiles
.i . ond [MASK] forsambí sliucht	.i. ond anmmaimm forsambí sliucht
Sétna mac Airt [MASK] a hUltaib.	Sétna mac Airt, a hUltaib.
Sciath [MASK] tuagmilaif oir uasaif a dif n-imdadhaifh	Sciath co tuagmilaif oir uasaif a dif n-imdadhaifh
airdíden gutae renalali	airdíden gutae renalali
.i . [MASK] domsa epert frissom rondbiad fáilte libsi robtismaithi formbésasi arachiunn	.i. nirbomebul domsa epert frissom rondbiad fáilte libsi robtismaithi formbésasi arachiunn
[MASK] nád cúala lir co rían rígi Meiss-Gegra don Maen?	Cía nád cúala lir co rían rígi Meiss-Gegra don Maen?
.i . ar is comlín són hi lín [MASK] fria bunad	.i. ar is comlín són hi lín sillab fria bunad
‘ [MASK] forcraid carde son ’ ol Sencha	‘Ni forcraid carde son’ ol Sencha
is [MASK] is follus as laigiu oldaas posit quando dicit oculos nitentes	is and is follus as laigiu oldaas posit quando dicit oculos nitentes
Tu dano dar a nesi doridi-siu [MASK] tiachtain [MASK] cona torcethur sechut na treod na torad dit-siu ierom [MASK] bud lat an cauradmir Emna Machai do gres? ’	Tu dano dar a nesi doridi-siu oc tiachtain ass cona torcethur sechut na treod na torad dit-siu ierom na bud lat an cauradmir Emna Machai do gres?’
.i . ni aírmithi arní	.i. ni aírmithi arní
Toluid Cuchulaind do accaltaim Patraic ⁊ bennachais do [MASK] ispert fris:	Toluid Cuchulaind do accaltaim Patraic ⁊ bennachais do ⁊ ispert fris:
Atre iarom arai Laegairi Buadaig .i [MASK] Seglang [MASK] Riangabra co nepert risna rannairib:	Atre iarom arai Laegairi Buadaig .i. Seglang mac Riangabra co nepert risna rannairib:
In quodam loco Aicheth Fir Leth, leltar da chlam do Brigti [MASK]	In quodam loco Aicheth Fir Leth, leltar da chlam do Brigti.
[MASK] iarum Cobthach do dénam a menman ⁊ do airiuc thuile dó.	Ro-chuirestar iarum Cobthach do dénam a menman ⁊ do airiuc thuile dó.
.i . résiu rísinse	.i. résiu rísinse
‘ Lá ro bása ⁊ mac Lir ’ ‘ h-i n-gríanán Dúni Inbir, ’ ‘ ropo dóig lind [MASK] anad ’ ‘ [MASK] bíad ar n-imscarad [MASK] ’	‘Lá ro bása ⁊ mac Lir’ ‘h-i n-gríanán Dúni Inbir,’ ‘ropo dóig lind cen anad’ ‘noco bíad ar n-imscarad.’
amal foceirt nech aætach de	amal foceirt nech aætach de
.i . nibí nach dethiden foir act fognam dodia noch [MASK] hedón bachóir	.i. nibí nach dethiden foir act fognam dodia noch ba hedón bachóir
‘ Innsaigid Coinrui ’ ol Senchui ‘ ⁊ na h-anuid la bretir naili [MASK] ristai uair lem for bur netergleod [MASK] uar fiadnusi ’	‘Innsaigid Coinrui’ ol Senchui ‘⁊ na h-anuid la bretir naili co ristai uair lem for bur netergleod in uar fiadnusi’
‘ Di feraib Hérenn ’, ol [MASK].	‘Di feraib Hérenn’, ol Conall.
.i . issed asbeir servius isdiil [MASK]	.i. issed asbeir servius isdiil tanisi
‘ Rot-bia són ’ ol láech líath mór forgránda di [MASK].	‘Rot-bia són’ ol láech líath mór forgránda di Ultaib.
‘ Ceist, in n-éláfa limm? ’ ol sé [MASK]	‘Ceist, in n-éláfa limm?’ ol sé.
nád deni ní arachosc	nád deni ní arachosc
cenmithá in consoin .i . arabí dint ṡillaib iar [MASK] nchonsain	cenmithá in consoin .i. arabí dint ṡillaib iar sind nchonsain
.i . cach-la drécht diib is atrab alaill ní atrab cid nahí atá [MASK] is [MASK] dano a n-atrab n-isin	.i. cach-la drécht diib is atrab alaill ní atrab cid nahí atá aitrebthatha is inrecht dano a n-atrab n-isin
Do luid for sluagod i nh-Erinn do chosnam [MASK] h-Érenn.	Do luid for sluagod i nh-Erinn do chosnam rige h-Érenn.
‘ Déntar! ’ [MASK] Ailill.	‘Déntar!’ ol Ailill.
.i . [MASK] olcsa amal nibed ad and	.i. inna olcsa amal nibed ad and
.i . serc [MASK] dúibsi farserc si do dia	.i. serc dǽ dúibsi farserc si do dia
Septembris.	Septembris.
Ceist [MASK] sund cateet cateet cate fudumne indfiss hoarícc dia ácenele ṅdoine	Ceist cateet sund cateet cateet cate fudumne indfiss hoarícc dia ácenele ṅdoine
[MASK]. bad nertad dúib inso asneírsid folnibthe lassincoimdid	.i. bad nertad dúib inso asneírsid folnibthe lassincoimdid
sed tertiae declinationis ⁊ [MASK].i . comtherchomrac	sed tertiae declinationis ⁊ neutrum .i. comtherchomrac
Blog [MASK] liic lógmair la slóg [MASK] n-amrae, Sínech ingen Fhergnae Crúachan Maige Abnae.	Blog dond liic lógmair la slóg martir n-amrae, Sínech ingen Fhergnae Crúachan Maige Abnae.
eter litre ni huas litrib	eter litre ni huas litrib
[MASK] unum virum pertinet sed isfer addiis	ad unum virum pertinet sed isfer addiis
Conid and ro cachain Conchubur in so [MASK]	Conid and ro cachain Conchubur in so:
innar rith arsidni	innar rith arsidni
Mo Chúaróc ind ecnai, nóeb [MASK] dámair dígnae, [MASK] Dergan deodae epscop Rónán rígdae.	Mo Chúaróc ind ecnai, nóeb ná dámair dígnae, Cáirech Dergan deodae epscop Rónán rígdae.
Roleblaing [MASK] ní balbdae, a [MASK] tar sál sairde, Carthach rígdae rúamach, Ciarán slúagach Saigre.	Roleblaing, ní balbdae, a clú tar sál sairde, Carthach rígdae rúamach, Ciarán slúagach Saigre.
Broa mara bara bledmaill blog dercteneth [MASK] mairnech mathruamdha morbruth borr-biasta brisius muadh morcatha	Broa mara bara bledmaill blog dercteneth tonn mairnech mathruamdha morbruth borr-biasta brisius muadh morcatha
As-raracht reme-sium Murchad mac Brain	As-raracht reme-sium Murchad mac Brain
Is [MASK] ru-ic-si duas virgines paruliticas Fotharenses.	Is and ru-ic-si duas virgines paruliticas Fotharenses.
Gabais [MASK] Con tír m-Banbae ⁊ [MASK] chóri [MASK] Con ⁊ in senrí Moshaulum íar tuidecht do Mac Con a Temuir cona h-imirge ⁊ íar fácbáil a rígi la Cormac mac Airt.	Gabais Mac Con tír m-Banbae ⁊ Dogníat chóri Mac Con ⁊ in senrí Moshaulum íar tuidecht do Mac Con a Temuir cona h-imirge ⁊ íar fácbáil a rígi la Cormac mac Airt.
[MASK] maith mac Cerbaill can aige gan laice, [MASK] ro cluine meirlech a eirrlech a traite.	Diarmait maith mac Cerbaill can aige gan laice, ní ro cluine meirlech a eirrlech a traite.
Eochu, La Crónán mac [MASK] ríg Cíanachta Breg dorochair.	Eochu, La Crónán mac Tigernaig ríg Cíanachta Breg dorochair.
Cóecae ar cét martír martrae mórsus dorus, ainsium ar lín [MASK] Enán [MASK] rind solus!	Cóecae ar cét martír martrae mórsus dorus, ainsium ar lín ammus Enán Roiss rind solus!
Do-bertatar bennacht furi-si.	Do-bertatar bennacht furi-si.
‘ [MASK] seo mithig damsa: ’ ‘ atá nech risnid andsa: ’ ‘ [MASK] [MASK] in tóchosol trá, ’ ‘ a Laíg, a meic Ríangabrá . ’	‘Érge seo mithig damsa:’ ‘atá nech risnid andsa:’ ‘is mór in tóchosol trá,’ ‘a Laíg, a meic Ríangabrá.’
.i . niconlaimemmar ni ón	.i. niconlaimemmar ni ón
Airg-siu ara chind ⁊ dos-fúairc ⁊ tuc th'arcad fadéin [MASK] ’	Airg-siu ara chind ⁊ dos-fúairc ⁊ tuc th'arcad fadéin chucad’
.i . [MASK].i . robtar irlim dothecht martre darmchenn	.i. forrusuidigsetar .i. robtar irlim dothecht martre darmchenn
nonas Aprilis.	nonas Aprilis.
Conall Collomrach Niath Segamain a Temair Énna Airgthech mblíadna Crimthand Coscrach [MASK] Mumain [MASK] mac Sithrite Ó ragab Macha co [MASK] Rudraighi ⁊ Fintait Már a Mumain, Bresal	Conall Collomrach Niath Segamain a Temair Énna Airgthech mblíadna Crimthand Coscrach a Mumain Rudraige mac Sithrite Ó ragab Macha co rogab Rudraighi ⁊ Fintait Már a Mumain, Bresal
.i . ni do cach brethir tecming persona [MASK] impersonalia ⁊ infinita ⁊ gerundia	.i. ni do cach brethir tecming persona ut impersonalia ⁊ infinita ⁊ gerundia
Candida grían shona [MASK] caín Colmáin Elo.	Candida grían shona gein caín Colmáin Elo.
.i . rúin arnícceni	.i. rúin arnícceni
Ocus ad-fídatar a h-ainm ocus ainm a h-athar [MASK] a senathar.	Ocus ad-fídatar a h-ainm ocus ainm a h-athar ocus a senathar.
‘ Uchán is crú mo chraide ’ ‘ [MASK] for marcuch in maige, ’ ‘ conná toraig sund i l-le [MASK] ‘ d' óenuch [MASK] Murthemne . ’	‘Uchán is crú mo chraide’ ‘serg for marcuch in maige,’ ‘conná toraig sund i l-le’ ‘d' óenuch Muge Murthemne.’
Tall dna Adamhnán ríge ar Chathusach mac Echuch ar rígh Dáil Riada ⁊ [MASK] a chloind co [MASK]	Tall dna Adamhnán ríge ar Chathusach mac Echuch ar rígh Dáil Riada ⁊ ar a chloind co bráth
.i . doaireur	.i. doaireur
.i . rotbia less [MASK] dodaggníma [MASK].i . ishé dobeir lóg deit tarhési do dagnímo	.i. rotbia less lóg dodaggníma. .i. ishé dobeir lóg deit tarhési do dagnímo
Tricho buiden lín Maic Con ⁊ tricho chét in [MASK] buidhin.	Tricho buiden lín Maic Con ⁊ tricho chét in cach buidhin.
.i . trem insamilso	.i. trem insamilso
emnad d and	emnad d and
acht is fortórmach	acht is fortórmach
‘ Fochen dúib! ’ [MASK] Illann	‘Fochen dúib!’ or Illann
.i . beta téit	.i. beta téit
.i . ciall chomthinóil and	.i. ciall chomthinóil and
Baísu luge do [MASK] oc tintúd ón gubu	Baísu luge do dig oc tintúd ón gubu
Iarsin [MASK] in tan ba fom rois conamalt-sa comdar minbacha itir mo di bois	Iarsin adrethusa in tan ba fom rois conamalt-sa comdar minbacha itir mo di bois
.i . arnamtomnad námminduine	.i. arnamtomnad námminduine
Ata inad a da traiged [MASK] liic uil for lár na catrach [MASK] a raibi a ndorus an rigthigi	Ata inad a da traiged isan liic uil for lár na catrach bhaili a raibi a ndorus an rigthigi
Ba becc dano la [MASK] a cuit.	Ba becc dano la Connachta a cuit.
.i . ma beith míduthracht dígal lacách [MASK] dialailiu	.i. ma beith míduthracht dígal lacách uáib dialailiu
.i . imfolngi insin	.i. imfolngi insin
Leig lath fath feig; fert ar-cain cuí chrúaid; [MASK] [MASK] bedc; is balc gedc láith lúaith	Leig lath fath feig ; fert ar-cain cuí chrúaid; cuirithir brecc bedc; is balc gedc láith lúaith
.i . fristait sochuide domsa [MASK] ed ón	.i. fristait sochuide domsa and ed ón
‘ Inn é so Muin-remor? ’ ol [MASK].	‘Inn é so Muin-remor?’ ol Cet.
‘ Is córu mo [MASK], ’ ar Emer.	‘Is córu mo lécudsa,’ ar Emer.
.i [MASK] inna etaldai .i . larina ⁊ tulla	.i. inna etaldai .i. larina ⁊ tulla
Luid Láeg atheroch co [MASK] i m-boí Cú Chulaind, [MASK] Fand malle fris.	Luid Láeg atheroch co airm i m-boí Cú Chulaind, ⁊ Fand malle fris.
[MASK] ronsoír dipeccad isderb linn nonsoírfea	hóre ronsoír dipeccad isderb linn nonsoírfea
.i . dendeserc brathardi	.i. dendeserc brathardi
.i [MASK] ciasberat doaidbdetar físi doib dotiagat angil andochum nichretidsi	.i. ciasberat doaidbdetar físi doib dotiagat angil andochum nichretidsi
.i . asoirbiu	.i. asoirbiu
.i . achómalnad aprecept	.i. achómalnad aprecept
.i . cia folínfea	.i. cia folínfea
.i [MASK] ni recam ales rolasid súil torunn itossich	.i. ni recam ales rolasid súil torunn itossich
.i . ainm in chrocainn imbí bilis reliqua [MASK]	.i. ainm in chrocainn imbí bilis reliqua icidorus
Gabsi Caulann cerd	Gabsi Caulann cerd
.i . in aignib	.i. in aignib
.i . sed ⁊ masculinum invenitur ut hieronymus in conflictu contra helvidium ostendit [MASK] virginali coniugio virgo .i . christus filius [MASK] ⁊ [MASK] machdad tra bed figurate nombed a virgo [MASK] asbeir hieronymus .i . connásásad nechtar de in n-araill reliqua	.i. sed ⁊ masculinum invenitur ut hieronymus in conflictu contra helvidium ostendit dicens virginali coniugio virgo .i. christus filius nasciretur ⁊ níbbu machdad tra bed figurate nombed a virgo filius asbeir hieronymus .i. connásásad nechtar de in n-araill reliqua
.i .. ɫ. ocht gorte	.i..ɫ. ocht gorte
Níbo chían íarom co [MASK] dá én forsind loch ⁊ rond dercóir etorro.	Níbo chían íarom co n-accatar dá én forsind loch ⁊ rond dercóir etorro.
Laæ n-and dí du-fuburt [MASK] ⁊ flechud ⁊ torann ⁊ saignen . ‘ Cia uaib indiu, a ingena, regus liar cærchu iss doninn moir-si [MASK] ’ ar [MASK].	Laæ n-and dí du-fuburt gæth ⁊ flechud ⁊ torann ⁊ saignen. ‘Cia uaib indiu, a ingena, regus liar cærchu iss doninn moir-si?’ ar Fine.
.i . isdíriug dúib cretem [MASK] amal sodain.ɫ . manidinnonn forcital linn manid niméte dúibsi [MASK] frinni	.i. isdíriug dúib cretem do amal sodain.ɫ. manidinnonn forcital linn manid niméte dúibsi nicoitsi frinni
‘ Nim thísi amin ’ [MASK] ol Fráech.	‘Nim thísi amin’, ol Fráech.
nonas Novembris.	nonas Novembris.
.i . innepthabirt dígle	.i. innepthabirt dígle
Ní roach ná rudrad in lebrán co l-léri, acht taithmet nóeb [MASK] la soas fo rédi [MASK]	Ní roach ná rudrad in lebrán co l-léri, acht taithmet nóeb n-óige la soas fo rédi.
.i . [MASK] fognam innamball naile doib .i . dothinóol ǽtig impu biith doib	.i. tri fognam innamball naile doib .i. dothinóol ǽtig impu biith doib
Fácabair Díarmaid iter a echaib	Fácabair Díarmaid iter a echaib
.i . combad innonn indocbál diar [MASK]. darfarcenn immartri	.i. combad innonn indocbál diar nanmanaib.ɫ. darfarcenn immartri
‘ [MASK] ndiaig ’ ol Cú Chuluinn	‘Ina ndiaig’ ol Cú Chuluinn
.i . ocimmarmus	.i. ocimmarmus
Foceird bedg cucai, ⁊ gaibid a óilech ⁊ dotháet dochum tíri, ⁊ dombeir i mmagin díamair [MASK] [MASK] na haband.	Foceird bedg cucai, ⁊ gaibid a óilech ⁊ dotháet dochum tíri, ⁊ dombeir i mmagin díamair i mbrúch na haband.
.i . níba [MASK] centorbe dano	.i. níba deícsiu centorbe dano
.i . isairi doroigu dia geinti hore nárbubae laiudeu [MASK] act doroigatar ancretim	.i. isairi doroigu dia geinti hore nárbubae laiudeu creitem act doroigatar ancretim
bruthach vel verius ignis reliqua [MASK] dicit	bruthach vel verius ignis reliqua icidorus dicit
.i . nibécen naaill act	.i. nibécen naaill act
da s tar hési z	da s tar hési z
Rom-shóerae, á Íssu, ar iffern n-gér [MASK], amail sóersai Ióain assin [MASK] thened.	Rom-shóerae, á Íssu, ar iffern n-gér n-genech, amail sóersai Ióain assin dabaig thened.
.i . cen dualchi	.i. cen dualchi
.i . bad samlith [MASK] ↄetarceirt	.i. bad samlith sulbairichthe ↄetarceirt
Do thæt Brandub do acallaim [MASK] ⁊ fo gnit a cairddes do derbad.	Do thæt Brandub do acallaim Aedain ⁊ fo gnit a cairddes do derbad.
.i [MASK] anastorbe dosochudi dia nícc	.i. anastorbe dosochudi dia nícc
.i [MASK] ainmnid dano fri ainsid híc	.i. ainmnid dano fri ainsid híc
Cing tar eccraid necomlund allbach [MASK] brogene [MASK] mathgaman for mincetraib murtcet for crechaib cuirethair glond ar glonn cenn ar cend	Cing tar eccraid necomlund allbach mpratha brogene bruth mathgaman for mincetraib murtcet for crechaib cuirethair glond ar glonn cenn ar cend
SÉN a Chríst mo labrai, a Choimmdiu [MASK] nime!	SÉN a Chríst mo labrai, a Choimmdiu secht nime!
‘ Ní báe són ’, ol Óengus, ‘ ém; óre as sí ad-condarc [MASK] ní [MASK] a breith in fecht-so . ’	‘Ní báe són’, ol Óengus, ‘ém; óre as sí ad-condarc; ní cumcub a breith in fecht-so.’
Suidid forro ⁊ eo gairid ina laim [MASK] do fóruinn impi toraind na ratha ⁊ ro cechladar maic Dithorba inn raith .i [MASK] int eo argait ro boi do-rat dar a [MASK] oc torainn na [MASK]	Suidid forro ⁊ eo gairid ina laim ⁊ do fóruinn impi toraind na ratha ⁊ ro cechladar maic Dithorba inn raith .i. int eo argait ro boi do-rat dar a muin oc torainn na ratha
[MASK] immorro deochon Paulin fer [MASK] ⁊ fer noeb ⁊ súi chantairechta h-i Cair re ciana	Iacob immorro deochon Paulin fer eclastacda ⁊ fer noeb ⁊ súi chantairechta h-i Cair re ciana
.i . intuile comthirchomracc hitalam .i . inchatlach innafer asrubart [MASK] inna ǽccalsa déde insin [MASK] triuss	.i. intuile comthirchomracc hitalam .i. inchatlach innafer asrubart intoéntu inna ǽccalsa déde insin hésom triuss
Mórfesser cornaire leo co cornaib órdaib ⁊ argdidib, co n-étaigib ildathachaib, co mongaib órdaib [MASK] [MASK] co lennaib étrachtaib.	Mórfesser cornaire leo co cornaib órdaib ⁊ argdidib, co n-étaigib ildathachaib, co mongaib órdaib sídbudib, co lennaib étrachtaib.
.i . niedamét	.i. niedamét
cenele nh-etha	cenele nh-etha
.i . ní delb adrorsat actiscosmulius delbe ↄd diud e lann [MASK]	.i. ní delb adrorsat actiscosmulius delbe ↄd diud e lann fr
.i . ismóith aforcital .i . anasbiur [MASK] imchosmulius indfíadnissi	.i. ismóith aforcital .i. anasbiur sís imchosmulius indfíadnissi
Ba már a mélacht lea techt cosin fer i n-imdai os sí [MASK]	Ba már a mélacht lea techt cosin fer i n-imdai os sí alacht
‘ Nírbo áil leiss tíachtain ar ban-churiud [MASK] ⁊ dano [MASK] finnad inn úaitsiu rosíacht fis dó . ’	‘Nírbo áil leiss tíachtain ar ban-churiud, ⁊ dano co finnad inn úaitsiu rosíacht fis dó.’
.i . atligthe buide	.i. atligthe buide
.i . óthossuch .i . is hé céetne fer cetaruchreti diáis hicrist.ɫ [MASK].i . hóairegas [MASK]. óin diairchinchib insin rochretset hicrist	.i. óthossuch .i. is hé céetne fer cetaruchreti diáis hicrist.ɫ. .i. hóairegas .i. óin diairchinchib insin rochretset hicrist
.i . cen [MASK] ind ḟolaid chéthnai	.i. cen forcenn ind ḟolaid chéthnai
[MASK]. ished asdilem limm ciacloid	.i. ished asdilem limm ciacloid
Batir falti i s-sudiu.	Batir falti i s-sudiu.
.i . icachréit rohí aless	.i. icachréit rohí aless
.i . batochu [MASK] buid and	.i. batochu doibsom buid and
.i . conétid inclaidebsin	.i. conétid inclaidebsin
‘ Nato ’ ol sisi	‘Nato’ ol sisi
Cormac mac Airt a Temuir, Diocletianus [MASK] Gauianus, Gallinus [MASK] Marcillianus, Constantin mac Helena, ⁊ mís.	Cormac mac Airt a Temuir, Diocletianus, Gauianus, Gallinus, Marcillianus, Constantin mac Helena, ⁊ mís.
Nochon fetar-sa indiu la h- & Éri [MASK] h-Albanchu loech nád urgarad Cano [MASK] gaí find fortanu	Nochon fetar-sa indiu la h-&Éri ná h-Albanchu loech nád urgarad Cano cona gaí find fortanu
forsinṅ ainmmnid ingenitin	forsinṅ ainmmnid ingenitin
Ronn-ain itge Tuae [MASK] Itharnaisc, nád labrae, la h-Éméne n-geldae de [MASK] Berbae balbae.	Ronn-ain itge Tuae, Itharnaisc, nád labrae, la h-Éméne n-geldae de brú Berbae balbae.
.i . cumachtai	.i. cumachtai
Martrae már Muscenti cona chléir cháin chlandaig, [MASK] as [MASK] rindaid Laidcenn macc Baíth Bannaig.	Martrae már Muscenti cona chléir cháin chlandaig, Críst as rúna rindaid Laidcenn macc Baíth Bannaig.
Comluth marc mbuadha maidm toronn tollclethe tretan trom ainbtinee all-cliu [MASK] h-imalldai [MASK] in nirind imtren tromtuinsit	Comluth marc mbuadha maidm toronn tollclethe tretan trom ainbtinee all-cliu fri h-imalldai forthacrith in nirind imtren tromtuinsit
Ocus ba sáeth ocus ingar la [MASK] a écc	Ocus ba sáeth ocus ingar la hAdamnán a écc
.i . amal nahí nadchrenat	.i. amal nahí nadchrenat
