masked	src
а҅ште ли к[_]о [_]ѣнитъ дѫб[_]ѥ малааго манастꙑра[_]ѥ҅же при пѫти ѥ҅стъ то да [_]ѣстъ ꙗ҅коже то[_]молитвами бꙑстъ блаженааго сав[_] глѫбинѫ же ꙁемь҆ѧ о҅брѣтъше и҅ подъго[_]иѥ҆ поточъноѥ доуж[_]евꙑи҅хъ водъ	а҅ште ли кто мѣнитъ дѫбиѥ малааго манастꙑра ѥ҅же при пѫти ѥ҅стъ то да вѣстъ ꙗ҅коже то молитвами бꙑстъ блаженааго савꙑ глѫбинѫ же ꙁемь҆ѧ о҅брѣтъше и҅ подъгориѥ҆ поточъноѥ доуждевꙑи҅хъ водъ
ѣкоже б[_] бꙑстъ иона[_]знаме[_]ие ниневъꙉи[_]омъ тако бѫдетъ и с҃нъ ч҃лвскꙑ родоу семоу	ѣкоже бо бꙑстъ иона знамение ниневъꙉитомъ тако бѫдетъ и с҃нъ ч҃лвскꙑ родоу семоу
маловрѢме[_]ь͗ни бо сѫтъ	маловрѢмень͗ни бо сѫтъ
нѣстъ дошъла ꙁападънꙑ[_]҅хъ странъ а҅[_]иꙗ[_]нъскаꙗ хоула	нѣстъ дошъла ꙁападънꙑи҅хъ странъ а҅риꙗ҅нъскаꙗ хоула
їзведе ѩ	їзведе ѩ
вѣроуета ли ѣко м[_]гѫ[_]се створити	вѣроуета ли ѣко могѫ се створити
нъ чьс[_] ꙇзидосте видѣтъ	нъ чьсо ꙇзидосте видѣтъ
отъ г҃а бꙑстъ си ꙇ естъ дивън[_] въ [_]чиѭ нашею	отъ г҃а бꙑстъ си ꙇ естъ дивъна въ очиѭ нашею
како бо проклꙙ госпо[_]ь҆ глагол҄ꙙ[_]҆	како бо проклꙙ господь҆ глагол҄ꙙи҆
[_]ѫтʼникъ же кʼто мимои͑ды и͑ мь͗нⱕ бл[_]ѹдомѫ видѣвъ н̑ив[_] д[_]б[_]ѫ и͑ плодънѫ и͑ съзь͗рѣвъшѫ и͑ вь͗злюбивъ прѣклонивъ сⱕ вь͗зⱕ[_]на годѣ	пѫтʼникъ же кʼто мимои͑ды и͑ мь͗нⱕ бл̑ѹдомѫ видѣвъ н̑ивѫ добрѫ и͑ плодънѫ и͑ съзь͗рѣвъшѫ и͑ вь͗злюбивъ прѣклонивъ сⱕ вь͗зⱕ на годѣ
ПС[_]ОМ ДВ҃Ъ ВЪ ЇСХОЖДЕНЪЕ	ПСЛОМ ДВ҃Ъ ВЪ ЇСХОЖДЕНЪЕ
к[_][_]орааго васъ осълъ ли волъ въ стоудене[_][_] въпадетъ ꙇ не абие истръгнетъ[_]его вь день соботънꙑ	которааго васъ осълъ ли волъ въ стоуденецъ въпадетъ ꙇ не абие истръгнетъ его вь день соботънꙑ
[_]҅ вьведе и вь клѣтькѫ своѭ̑	и҅ вьведе и вь клѣтькѫ своѭ̑
послѣд[_] же придѫ[_]и прочѧѩ дѣвꙑ г҃лѭщѧ	послѣдь же придѫ и прочѧѩ дѣвꙑ г҃лѭщѧ
вѣм[_] же ѣко грѣшьни[_]ъ[_]б҃ъ не[_]послоушаатъ нъ аште кто б҃[_]очтецъ естъ и волѭ его сътворитъ того послоушаатъ	вѣмъ же ѣко грѣшьникъ б҃ъ не послоушаатъ нъ аште кто б҃гочтецъ естъ и волѭ его сътворитъ того послоушаатъ
Прідѣте	Прідѣте
братия п[_] строю҄ бж͆ию҄ [_]ро[_]жина быхомъ въ маловрѢмень͗наа͑го сего ж[_]тия	братия по строю҄ бж͆ию҄ дроужина быхомъ въ маловрѢмень͗наа͑го сего жития
еда отъ галилѣѩ х҃ъ пр[_]детъ	еда отъ галилѣѩ х҃ъ придетъ
го[_]ти[_]же мѫжⱕ иже ведѣа͑хѫ ст͆аа͑го василиска	гости же мѫжⱕ иже ведѣа͑хѫ ст͆аа͑го василиска
градъ же комо[_][_][_]о насъ ѥ͑сть небесъск[_]и ѥроусалим[_] вь н̑ьже вь͗селитъ г͆ь вь͗сꙙ надѣѭ̑штѧѧ сꙙ на н̑ь	градъ же комоуждо насъ ѥ͑сть небесъскꙑи ѥроусалимъ вь н̑ьже вь͗селитъ г͆ь вь͗сꙙ надѣѭ̑штѧѧ сꙙ на н̑ь
поставіші мѩ [_]ъ главѫ ѩзъ[_]комъ	поставіші мѩ въ главѫ ѩзъікомъ
г[_]лѭ же вамъ	г҃лѭ же вамъ
и҅ дроуг[_]и҆	и҅ дроугꙑи҆
ꙇ приношаахѫ къ[_]не[_]оу дѣти да ѩ коснетъ	ꙇ приношаахѫ къ немоу дѣти да ѩ коснетъ
и҅ нꙑнꙗ [_]лад[_]ко господи о҅бави ми о҅ н҄емъ ꙗ҅ко печаль҆на доуша мо[_] ѥ҅стъ до сьмрьти а҅ште съсѫдъ и҅же мь҆ноѭ̑ мьнѣнѣ о[_]с[_]ꙙштенъ и҅ добропотрѣбь҆нъ[_]и҅ бо[_]ь҆ствънааго [_][_]оѥ҅го мура подобь[_]нъ подъѧ҅ти[_] непотрѣбь҆нъ прѣд[_] твои҅мъ величьствомъ бꙑстъ	и҅ нꙑнꙗ владꙑко господи о҅бави ми о҅ н҄емъ ꙗ҅ко печаль҆на доуша моꙗ ѥ҅стъ до сьмрьти а҅ште съсѫдъ и҅же мь҆ноѭ̑ мьнѣнѣ о҅свꙙштенъ и҅ добропотрѣбь҆нъ и҅ божь҆ствънааго твоѥ҅го мура подобь҆нъ подъѧ҅тиꙗ непотрѣбь҆нъ прѣдъ твои҅мъ величьствомъ бꙑстъ
Де[_]ніца гн҃ѣ сътвори силѫ	Десніца гн҃ѣ сътвори силѫ
въ[_]четврътꙑи же дьнь посъла кнꙙꙁъ ноштиѭ҄ да видꙙтъ а҅ште [_]҅ста [_]҄уморена свꙙтаꙗ҅ ꙁвѣрь҆[_]и	въ четврътꙑи же дьнь посъла кнꙙꙁъ ноштиѭ҄ да видꙙтъ а҅ште ѥ҅ста о҄уморена свꙙтаꙗ҅ ꙁвѣрь҆ми
[_]ште не би бꙑлъ сь зълодѣи н[_] бимь прѣдали его т[_]бѣ	аште не би бꙑлъ сь зълодѣи не бимь прѣдали его тебѣ
видѣх[_]мъ г҃а	видѣхомъ г҃а
бꙑвъи҆ бо прь҆вꙑи чл꙯къ ꙁ[_] велика ꙁапрѣштени[_] сим[_] о҅[_]ѫжденъ бꙑвааше слꙑшꙙ	бꙑвъи҆ бо прь҆вꙑи чл꙯къ ꙁа велика ꙁапрѣштениꙗ симъ о҅сѫжденъ бꙑвааше слꙑшꙙ
очищѫ сѩ	очищѫ сѩ
и҅ того радма въ врѣ[_][_] строꙗ[_]г꙯ь на[_]ъ вь҆сѫ о҅бави кротость҆ да побѣдитꙿ и҅ о҅сѫдит[_] сь҆мѣрении҅мъ свои҅мъ вь҆ꙁнесень҆ѥ҆ ѥ҅же бѣ кнꙙꙁъ вѣка сего вражь҆ск[_] въсхꙑт[_][_]ъ себѣ	и҅ того радма въ врѣмꙙ строꙗ г꙯ь нашъ вь҆сѫ о҅бави кротость҆ да побѣдитꙿ и҅ о҅сѫдитъ сь҆мѣрении҅мъ свои҅мъ вь҆ꙁнесень҆ѥ҆ ѥ҅же бѣ кнꙙꙁъ вѣка сего вражь҆скꙑ въсхꙑтилъ себѣ
бѣ[_]ꙑ ꙇзгоните	бѣсꙑ ꙇзгоните
вь͗сѣчьскы примы[_]ливъше не могохомъ и͑х[_] о҄увѣштати [_]͑тъврѣ[_]ти сⱕ х͆а с[_]оѥго и͑ быти съ нами	вь͗сѣчьскы примысливъше не могохомъ и͑хъ о҄увѣштати о͑тъврѣшти сⱕ х͆а своѥго и͑ быти съ нами
ли коеі притъчи приложимъ[_]е	ли коеі притъчи приложимъ е
҅Ан[_]тонинъ глагола	҅Анꙿтонинъ глагола
По тѣхъ же врѣменехъ о҄увѣ[_]ѣвъ[_]патрик҄ии҆ и҅же блаженꙑ[_] памꙙти е҅п꙯пъ [_]овꙑѧ҆ [_]҄есариѧ града о҅тъ того бо пришъствии҅мъ сътвори н[_]рочитъи҆ манастꙑ[_]ь҆ и҅ ꙗ҅ко собоѭ҄ носи[_]ъ ст꙯ꙑи҆ о҅тъ е҅фрата рѣкꙑ ношт[_]ѭ҄ водѫ и҅ чꙿтꙑ мѫжа житиꙗ҆ [_]҅го ради и҅ того ра[_]ꙿма дѣла дастъ клюсꙙ на ношень҆е҆ водѣ странь҆нꙑим[_] п[_]иходꙙшти[_]҅мь[_] к н҄емоу[_]а҅ не самомоу страдати тро[_]да принош[_][_]ьꙗ҆ водѣ	По тѣхъ же врѣменехъ о҄увѣдѣвъ патрик҄ии҆ и҅же блаженꙑѧ памꙙти е҅п꙯пъ новꙑѧ҆ к҄есариѧ града о҅тъ того бо пришъствии҅мъ сътвори нарочитъи҆ манастꙑрь҆ и҅ ꙗ҅ко собоѭ҄ носитъ ст꙯ꙑи҆ о҅тъ е҅фрата рѣкꙑ ноштиѭ҄ водѫ и҅ чꙿтꙑ мѫжа житиꙗ҆ ѥ҅го ради и҅ того радꙿма дѣла дастъ клюсꙙ на ношень҆е҆ водѣ странь҆нꙑимъ приходꙙштии҅мь҆ к н҄емоу а҅ не самомоу страдати троуда приношеньꙗ҆ водѣ
равьни бо сѫтъ а҃нꙉлмъ ꙇ с҃нве[_]сѫтъ б҃жии вьск[_]ѣшению с҃нве с[_]ще	равьни бо сѫтъ а҃нꙉлмъ ꙇ с҃нве сѫтъ б҃жии вьскрѣшению с҃нве сѫще
[_]щ[_] оубо д҃вдъ д҃хомъ г҃а нарицаетъ і [_]ако емоу естъ с҃нъ	аще оубо д҃вдъ д҃хомъ г҃а нарицаетъ і како емоу естъ с҃нъ
к[_]ко ли можаа҅хѫ сътрь҆п[_]ти народоу бѣсꙙштоу сꙙ	како ли можаа҅хѫ сътрь҆пѣти народоу бѣсꙙштоу сꙙ
да не бѫдетъ [_]ъ тебѣ бъ новъ ні поклоніші сѩ [_]҃оу тоуждем[_]у	да не бѫдетъ въ тебѣ бъ новъ ні поклоніші сѩ б҃оу тоуждемоу
и҅[_]не о҅брѣтъ кѫдоу съвратити сꙙ [_]ъ пеш[_]ерѣ не [_]огꙑ же грꙙсти паде ꙁадоушивъ сꙙ	и҅ не о҅брѣтъ кѫдоу съвратити сꙙ къ пештерѣ не могꙑ же грꙙсти паде ꙁадоушивъ сꙙ
ꙗ҅ко[_]е и҅ бꙑстъ	ꙗ҅коже и҅ бꙑстъ
Къд[_] хоштеши оуготова[_]мь тебѣ пасхѫ ѣсти	Къде хоштеши оуготоваемь тебѣ пасхѫ ѣсти
можеши [_]҅ ѥ҅днѣмъ доб[_]о сътворити	можеши и҅ ѥ҅днѣмъ добро сътворити
къ вечеро[_] бо бѢа͑ше дь͗ни	къ вечероу бо бѢа͑ше дь͗ни
Наоуч[_] мѩ творити волѭ твоѭ	Наоучи мѩ творити волѭ твоѭ
дъва бѫд[_]те на селѣ	дъва бѫдете на селѣ
Бъ҃ [_] б҃і прініч[_] на сн҃ꙑ чл҃вчѩ Видѣті аще естъ[_]разоум[_]ваѩ ілі вьзискаѩ б҃а	Бъ҃ с б҃і прініче на сн҃ꙑ чл҃вчѩ Видѣті аще естъ разоумѣваѩ ілі вьзискаѩ б҃а
д[_]ѣ҅ши рече	дѣѣ҅ши рече
ꙇ҅меши ли вѣрѫ сем[_]у	ꙇ҅меши ли вѣрѫ семоу
егда ізнемагаетъ к[_]ѣпость моѣ [_]е оставі мене	егда ізнемагаетъ крѣпость моѣ не оставі мене
Прі[_]есѣте г҃ю сн҃ові бж҃і	Прінесѣте г҃ю сн҃ові бж҃і
ꙇ многъ народъ отъ галилеѩ по[_]н҄емь ꙇдошѧ ꙇ отъ ꙇюдеѩ ꙇ отъ е҃л[_]а ꙇ отъ ꙇдоумѣѩ ꙇ [_][_] оного полоу [_]ордана	ꙇ многъ народъ отъ галилеѩ по н҄емь ꙇдошѧ ꙇ отъ ꙇюдеѩ ꙇ отъ е҃лма ꙇ отъ ꙇдоумѣѩ ꙇ съ оного полоу ꙇордана
шедъ же и о[_]мꙑвъ сѧ прозьрѣхъ	шедъ же и оумꙑвъ сѧ прозьрѣхъ
Нъ рекѫтъ нѣции҆ ѡ҄[_]їѡ҄сифѣ	Нъ рекѫтъ нѣции҆ ѡ҄ їѡ҄сифѣ
нъ достои҅нѫ[_]мѫдрость҆ данꙑ[_]҅хъ намъ о҅тъ [_]оухо[_]нааго дара вьсприїмше не въдадимъ себе пьꙗ҅нь҆с[_]воу [_]҅ лихоꙗ҅день҆ю̑	нъ достои҅нѫ мѫдрость҆ данꙑи҅хъ намъ о҅тъ доуховнааго дара вьсприїмше не въдадимъ себе пьꙗ҅нь҆ствоу и҅ лихоꙗ҅день҆ю̑
Надѣѭщеі сѩ сілѣ с[_]оеі Ї множьствомъ богатьства свое[_]о [_]валѩще сѩ	Надѣѭщеі сѩ сілѣ своеі Ї множьствомъ богатьства своего хвалѩще сѩ
нъ бѣа͑ше правʼдивыи͗ я͑ко нечьстивыи͗ и͑ грѣшъныи͗ я͑ко[_]правед[_]ны[_]͗	нъ бѣа͑ше правʼдивыи͗ я͑ко нечьстивыи͗ и͑ грѣшъныи͗ я͑ко праведъныи͗
ни а͑ште и͑ м͆ ѧ͑зыци[_]довь͗лѣли бышⱕ толікѫ д[_]б[_]ѫ дѣтѣль[_]мѫжь вь͗спѣти	ни а͑ште и͑ м͆ ѧ͑зыци довь͗лѣли бышⱕ толікѫ добрѫ дѣтѣль мѫжь вь͗спѣти
и҅ [_]҅сльпнѫшꙙ роби божиї	и҅ о҅сльпнѫшꙙ роби божиї
и҅ что глагол҄ѫ давꙑда и҅ [_][_]̑нѫ и҅ соломѡ̑на	и҅ что глагол҄ѫ давꙑда и҅ їѡ̑нѫ и҅ соломѡ̑на
то ѥ҅стъ и҅ дѣвь҆ств[_]	то ѥ҅стъ и҅ дѣвь҆ство
ꙇ озирааше сѧ видѣт[_] сътворь[_]ѫѭ се	ꙇ озирааше сѧ видѣти сътворьшѫѭ се
море о҅т[_]чь҆ноѥ ꙁнаѥтъ мѫжа	море о҅точь҆ноѥ ꙁнаѥтъ мѫжа
раби недостоини есмъ ѣко еже д[_]ъж[_][_]и бѣхомъ сътворити сътворихомъ	раби недостоини есмъ ѣко еже длъжъни бѣхомъ сътворити сътворихомъ
Въ с[_]оѩ приде	Въ своѩ приде
Не оубоѭ сѩ от[_] тьмъі люд[_]і Нападаѭ[_]іхъ на мѩ окръстъ	Не оубоѭ сѩ отъ тьмъі людеі Нападаѭщіхъ на мѩ окръстъ
Желанье с[_]ъдьца твоего дал[_] емоу есі	Желанье сръдьца твоего даль емоу есі
абие же по с[_]ръби дьнии тѣхъ слъньце мръкнетъ и лоуна не да[_]тъ свѣт[_] своего ꙇ звѣздꙑ съпадѫтъ с н҃бс[_] ꙇ силꙑ небескꙑѩ[_] двигн[_]тъ сѧ	абие же по скръби дьнии тѣхъ слъньце мръкнетъ и лоуна не дастъ свѣта своего ꙇ звѣздꙑ съпадѫтъ с н҃бсе ꙇ силꙑ небескꙑѩ҅ двигнѫтъ сѧ
ꙇ съ[_]ърашѧ сѧ [_]ь немоу народи мъноѕи ꙇ ѣко вьлѣ[_]ъ въ корабь сѣде и весь наро[_]ъ на помори с[_]оѣше	ꙇ събърашѧ сѧ кь немоу народи мъноѕи ꙇ ѣко вьлѣзъ въ корабь сѣде и весь народъ на помори стоѣше
г҃лашѧ е[_]оу оученици его	г҃лашѧ емоу оученици его
Ѡтъвѣшта [_]҃съ и рече имъ	Ѡтъвѣшта и҃съ и рече имъ
маловѣре по чьто сѧ оус[_]умьнѣ	маловѣре по чьто сѧ оусоумьнѣ
съгрѣшихъ п[_]ѣдавъ крьвь҆ непови[_]нѫ	съгрѣшихъ прѣдавъ крьвь҆ неповиннѫ
Непов[_]нен[_] рѫ[_]ама и чъ[_]тъ сръдъцемъ Иже не пріѩтъ насоуе дш҃ѩ своеѩ И не кл[_]тъ сѩ лестьѭ искрънюмоу своемоу	Неповіненъ рѫкама и чъстъ сръдъцемъ Иже не пріѩтъ насоуе дш҃ѩ своеѩ И не клѩтъ сѩ лестьѭ искрънюмоу своемоу
ꙇ҅ неключимааго раба [_]ъвръѕѣте въ тъмѫ кромѣ[_]т[_]нѭ҄ѭ҄	ꙇ҅ неключимааго раба въвръѕѣте въ тъмѫ кромѣштьнѭ҄ѭ҄
не вѣ[_]оуѥши ли пророкоу	не вѣроуѥши ли пророкоу
глагол҄и о҄убо такожде вь҆ н҄ь [_]҅ бѫдеши въ то[_]о так[_] ꙗ҅коже и҅ о҅нъ	глагол҄и о҄убо такожде вь҆ н҄ь и҅ бѫдеши въ того такъ ꙗ҅коже и҅ о҅нъ
Врагъ пон[_]сі г҃ю	Врагъ поносі г҃ю
сълоучаѭ҄штии҅ же сꙙ н[_] пѫти видꙙште и҅ꙁдалеча съ великꙑи҅мъ о҄устрь҆мь҆ѥ҅нии҅мъ течень҆ꙗ҆ приходꙙштъ мнꙙште на [_]҅ꙁѣден[_]ѥ҆ и҅мъ[_]прѣдълежа[_][_] ꙁ[_][_]рьноуо҄умоу нашьствию҄	сълоучаѭ҄штии҅ же сꙙ на пѫти видꙙште и҅ꙁдалеча съ великꙑи҅мъ о҄устрь҆мь҆ѥ҅нии҅мъ течень҆ꙗ҆ приходꙙштъ мнꙙште на и҅ꙁѣдениѥ҆ и҅мъ прѣдълежати ꙁвѣрьноуо҄умоу нашьствию҄
е҅се мѫжь҆	е҅се мѫжь҆
се ѥ[_]стъ вь҆скръсениꙗ великоѥ҆ ꙗ҅вь҆ѥ҅н[_]ѥ	се ѥ҆стъ вь҆скръсениꙗ великоѥ҆ ꙗ҅вь҆ѥ҅ниѥ
г[_]и с҃пи нꙑ	г҃и с҃пи нꙑ
а҅мин	а҅мин
а҅ и҅же вь҆ н҄ихъ таи҅нааго[_]не и҅скопаѥ҅ши [_]и [_]ь҆береши ꙁлата	а҅ и҅же вь҆ н҄ихъ таи҅нааго не и҅скопаѥ҅ши ни сь҆береши ꙁлата
и҅ [_]҅кꙑ о҅ть҆ць҆ любовънꙑи҆ приѥ҅мл[_]тъ[_]чꙙд[_] своѥ҆ тако притекъ ль҆въ скочи на праведьника	и҅ а҅кꙑ о҅ть҆ць҆ любовънꙑи҆ приѥ҅млетъ чꙙдо своѥ҆ тако притекъ ль҆въ скочи на праведьника
Въ шестꙑи҅ о̑убо мѣ[_]ꙙцъ посъланъ бꙑстъ а҅гг҄ел[_] гаврии҅лъ к[_] дѣвици о҅брѫченѣ мѫж[_]у а҅ не прилѣпꙿнѣ порѫченѣ[_]їѡ̑сиф[_]у а҅ хран[_]мѣ їсоусоу	Въ шестꙑи҅ о̑убо мѣсꙙцъ посъланъ бꙑстъ а҅гг҄елъ гаврии҅лъ къ дѣвици о҅брѫченѣ мѫжоу а҅ не прилѣпꙿнѣ порѫченѣ їѡ̑сифоу а҅ хранимѣ їсоусоу
глаголаа͑хѫ б[_] дроугъ къ дрѹгоу яко не[_]и͑матъ дои͑ти[_]мѣс[_]а до четырь͗ дь͗ниї	глаголаа͑хѫ бо дроугъ къ дрѹгоу яко не и͑матъ дои͑ти мѣста до четырь͗ дь͗ниї
Потръ[_]і г҃ѣ	Потръпі г҃ѣ
соугоуб[_]҆ сьнитиѥ	соугоубь҆ сьнитиѥ
поꙁдѣ бꙑвъш[_]у	поꙁдѣ бꙑвъшоу
Что о҄убо[_]наѳанъ рече	Что о҄убо наѳанъ рече
почто и҅ глагол҄етъ и[_][_]чоудеса творитъ	почто и҅ глагол҄етъ и҅ чоудеса творитъ
и͑ да приѧ[_]ти бѫдемъ я͑коже жр[_]͗тва жива благо[_]риѧтъна тебѣ	и͑ да приѧ͗ти бѫдемъ я͑коже жрь͗тва жива благоприѧтъна тебѣ
тѣхъ бо не винꙿнꙑ сътвориши слоу[_]а[_] пѣснии҆	тѣхъ бо не винꙿнꙑ сътвориши слоушаѧ пѣснии҆
лѣпо бо бѣа҅ше сѣдꙙштемъ и[_]м[_] и҅ стрѣгѫш[_]емъ бꙑти въстанию̑	лѣпо бо бѣа҅ше сѣдꙙштемъ и҅мъ и҅ стрѣгѫштемъ бꙑти въстанию̑
въси бо томоу живи [_]ѫтъ	въси бо томоу живи сѫтъ
плакаа҅ше б[_] жидовъска ꙁъла чло[_]ѣкъ въ ꙗ҅ꙁвѣ сꙑ и҅ вѣ[_]ꙑ трь҆пѣти болѣꙁ[_]ь҆	плакаа҅ше бо жидовъска ꙁъла чловѣкъ въ ꙗ҅ꙁвѣ сꙑ и҅ вѣдꙑ трь҆пѣти болѣꙁнь҆
се о҄убо да прѣтръ[_]ъше слово на мѫчени[_]ы[_]прѣи͑демъ добрѣ и͑спо[_]ѣдаѭ҄ште шь͗ствиѥ͑ нрава како приведени бышⱕ въ срацинъскѫѭ҄ земь͗ѭ҄ и͑ како бышⱕ и[_] ка[_]о имъ м[_]чен[_]ѥ быстъ	се о҄убо да прѣтръгъше слово на мѫченикы прѣи͑демъ добрѣ и͑сповѣдаѭ҄ште шь͗ствиѥ͑ нрава како приведени бышⱕ въ срацинъскѫѭ҄ земь͗ѭ҄ и͑ како бышⱕ и͑ како имъ мѫчениѥ быстъ
аште ми сѧ лоучитъ о[_]мрѣти [_]ъ тобоѭ не отъвръгѫ[_]сѧ тебе	аште ми сѧ лоучитъ оумрѣти съ тобоѭ не отъвръгѫ сѧ тебе
Ї нѫждаахѫ сѩ искѫщеі[_]дш҃ѩ моеѩ Ї искѫщ[_]і зъла мнѣ	Ї нѫждаахѫ сѩ искѫщеі дш҃ѩ моеѩ Ї искѫщеі зъла мнѣ
сотона[_]и͑ доуѯъ и͑ воѥ͑вода	сотона и͑ доуѯъ и͑ воѥ͑вода
аще[_]ли того кънигамъ вѣрꙑ [_]е емлете како моимъ г҃лмъ вѣрѫ еим[_]те	аще ли того кънигамъ вѣрꙑ не емлете како моимъ г҃лмъ вѣрѫ еимете
Съказа г҃ь сп҃ніе [_]вое прѣдъ ѩз[_]ікъі	Съказа г҃ь сп҃ніе свое прѣдъ ѩзъікъі
речетъ бо го[_]подь мои	речетъ бо господь мои
тъгда рече ц҃сръ слоу[_]амъ	тъгда рече ц҃сръ слоугамъ
раздр[_]жаетъ протівьнꙑ імѩ твое до ко[_]ъца	раздражаетъ протівьнꙑ імѩ твое до конъца
ВЪ К[_]НЕЦЪ ПСАЛОМЪ ДА҃ВЪ	ВЪ КОНЕЦЪ ПСАЛОМЪ ДА҃ВЪ
о̑уже бо ꙁа [_][_]мрьть҆ о̑усьпеньѥ и҅ сънъ глагол҄етъ сꙙ пр[_]ставьѥ҅нь҆ѥ [_]҅же о҅тъсѫдꙋ	о̑уже бо ꙁа сьмрьть҆ о̑усьпеньѥ и҅ сънъ глагол҄етъ сꙙ прѣставьѥ҅нь҆ѥ ѥ҅же о҅тъсѫдꙋ
почто же	почто же
ꙇ въс[_]ав[_]ше въсе мъножьство ихъ вѣсѧ и къ пилатоу	ꙇ въставъше въсе мъножьство ихъ вѣсѧ и къ пилатоу
нъ о҅ни[_]о҅баче срамь҆ꙗ҅ѭ̑тъ сꙙ глагола[_]и	нъ о҅ни о҅баче срамь҆ꙗ҅ѭ̑тъ сꙙ глаголати
На[_]мѩ помꙑшлѣахѫ зълаа мнѣ	На мѩ помꙑшлѣахѫ зълаа мнѣ
ꙇ речетъ	ꙇ речетъ
ꙇ испрошь дъштицѫ напса[_]г҃лѧ	ꙇ испрошь дъштицѫ напса г҃лѧ
и͑ в[_] тои͗ жизни прѣбыста	и͑ въ тои͗ жизни прѣбыста
не бо ѥ҅си о҅н[_]ѧ҅ въдовꙑ о҄[_]божаи҆	не бо ѥ҅си о҅ноѧ҅ въдовꙑ о҄убожаи҆
їѳ҃	їѳ҃
Къ и҅нѣмꙿ [_]е всѣмъ и҅ дроугоѥ [_]рѣславꙿно чо[_]до прибꙑ	Къ и҅нѣмꙿ же всѣмъ и҅ дроугоѥ прѣславꙿно чоудо прибꙑ
аминь ⷢ҇лѭ вамъ ѣко не[_]мимо идетъ родо сь дон[_]деже вь[_]ѣ си бѫдѫтъ	аминь ⷢ҇лѭ вамъ ѣко не мимо идетъ родо сь доньдеже вьсѣ си бѫдѫтъ
ѥ͑динъ [_][_]ръ желѣѭ҄ вѣнь͗ць праведь͗ныи͗	ѥ͑динъ даръ желѣѭ҄ вѣнь͗ць праведь͗ныи͗
Їзбьра колѣно іюдово горѫ[_]сі[_]нъ ѭже възлюбі	Їзбьра колѣно іюдово горѫ сіонъ ѭже възлюбі
въ [_]стинѫ же г҃лѭ вамъ	въ істинѫ же г҃лѭ вамъ
ПСАЛМЪ [_]ЕЗ НАПСАНЬѢ	ПСАЛМЪ БЕЗ НАПСАНЬѢ
а҅дам[_] къде ѥ҅си	а҅даме къде ѥ҅си
чꙿто сътво[_]имъ	чꙿто сътворимъ
отъвѣштавъ же ꙇ҃[_]ъ рече	отъвѣштавъ же ꙇ҃съ рече
Да пріложитъ г҃ь на въ[_] На въі ї на сн҃[_]і вашѩ	Да пріложитъ г҃ь на въі На въі ї на сн҃ъі вашѩ
